Time,Displacement,Force,,Time,Displacement,Force,,Time,Displacement,Force
(s),(mm),(kN),,(s),(mm),(kN),,(s),(mm),(kN)
0,0,-0.0001,,0,0,0.0002,,0,0,0.0001
0.02,0,0,,0.02,0,0.0002,,0.02,0,0.0001
0.04,0,0,,0.04,0,0.0002,,0.04,0,0.0001
0.06,0,0,,0.06,0,0.0002,,0.06,0,0.0001
0.08,0,0,,0.08,0,0.0002,,0.08,0,0.0001
0.1,0,0,,0.1,0,0.0002,,0.1,0,0.0001
0.12,0,-0.0001,,0.12,0,0.0002,,0.12,0,0.0001
0.14,0,-0.0001,,0.14,0,0.0002,,0.14,0,0.0001
0.16,0,-0.0001,,0.16,0,0.0002,,0.16,0,0.0001
0.18,0,0,,0.18,0,0.0002,,0.18,0,0.0001
0.2,0,0,,0.2,0,0.0002,,0.2,0,0.0001
0.22,0,0,,0.22,0,0.0002,,0.22,0,0.0001
0.24,0,0,,0.24,0,0.0002,,0.24,0,0.0001
0.26,0,0,,0.26,0,0.0002,,0.26,0,0.0001
0.28,0,-0.0001,,0.28,0,0.0002,,0.28,0,0.0001
0.3,0,-0.0001,,0.3,0,0.0002,,0.3,0,0.0001
0.32,0,0,,0.32,0,0.0002,,0.32,0,0.0001
0.34,0,0,,0.34,0,0.0002,,0.34,0,0.0001
0.36,0,0,,0.36,0,0.0002,,0.36,0,0.0001
0.38,0,0,,0.38,0,0.0002,,0.38,0,0.0001
0.4,0,0,,0.4,0,0.0002,,0.4,0,0.0001
0.42,0,-0.0001,,0.42,0,0.0002,,0.42,0,0.0001
0.44,0,-0.0001,,0.44,0,0.0002,,0.44,0,0.0001
0.46,0,0,,0.46,0,0.0002,,0.46,0,0.0001
0.48,0,0,,0.48,0,0.0002,,0.48,0,0.0001
0.5,0,0,,0.5,0,0.0002,,0.5,0,0.0001
0.52,0,0,,0.52,0,0.0002,,0.52,0,0.0001
0.54,0,0,,0.54,0,0.0002,,0.54,0,0.0001
0.56,0,-0.0001,,0.56,0,0.0002,,0.56,0,0.0001
0.58,0,-0.0001,,0.58,0,0.0002,,0.58,0,0.0001
0.6,0,-0.0001,,0.6,0,0.0002,,0.6,0,0.0001
0.62,0,0,,0.62,0,0.0002,,0.62,0,0.0001
